t_wall_s,elapsed_s,side,cam,temp_c
1783406384.3,40.4,left,0,59.34
1783406384.3,40.4,left,1,63.51
1783406384.3,40.4,left,2,69.05
1783406384.3,40.4,left,3,64.67
1783406384.3,40.4,left,4,64.66
1783406384.3,40.4,left,5,70.40
1783406384.3,40.4,left,6,70.15
1783406384.3,40.4,left,7,66.44
1783406384.3,40.4,right,imu,39.83
1783406384.3,40.4,right,0,31.95
1783406384.3,40.4,right,1,39.62
1783406384.3,40.4,right,2,50.34
1783406384.3,40.4,right,3,57.55
1783406384.3,40.4,right,4,53.86
1783406384.3,40.4,right,5,52.00
1783406384.3,40.4,right,6,50.55
1783406384.3,40.4,right,7,46.87
1783406389.3,45.5,left,imu,62.50
1783406389.3,45.5,left,0,58.96
1783406389.3,45.5,left,1,62.98
1783406389.3,45.5,left,2,68.29
1783406389.3,45.5,left,3,63.77
1783406389.3,45.5,left,4,63.99
1783406389.3,45.5,left,5,69.58
1783406389.3,45.5,left,6,69.09
1783406389.3,45.5,left,7,65.83
1783406389.3,45.5,right,imu,39.55
1783406389.3,45.5,right,0,31.72
1783406389.3,45.5,right,1,39.17
1783406389.3,45.5,right,2,49.52
1783406389.3,45.5,right,3,56.49
1783406389.3,45.5,right,4,52.96
1783406389.3,45.5,right,5,51.10
1783406389.3,45.5,right,6,49.72
1783406389.3,45.5,right,7,46.18
1783406394.4,50.5,left,imu,62.50
1783406394.4,50.5,left,0,58.58
1783406394.4,50.5,left,1,62.52
1783406394.4,50.5,left,2,67.46
1783406394.4,50.5,left,3,63.77
1783406394.4,50.5,left,4,63.23
1783406394.4,50.5,left,5,68.75
1783406394.4,50.5,left,6,68.34
1783406394.4,50.5,left,7,65.07
1783406394.4,50.5,right,imu,39.11
1783406394.4,50.5,right,0,31.49
1783406394.4,50.5,right,1,38.87
1783406394.4,50.5,right,2,48.76
1783406394.4,50.5,right,3,55.43
1783406394.4,50.5,right,4,52.20
1783406394.4,50.5,right,5,50.28
1783406394.4,50.5,right,6,48.89
1783406394.4,50.5,right,7,45.50
1783406399.4,55.6,left,imu,61.69
1783406399.4,55.6,left,0,58.27
1783406399.4,55.6,left,1,61.99
1783406399.4,55.6,left,2,66.86
1783406399.4,55.6,left,3,63.24
1783406399.4,55.6,left,4,62.48
1783406399.4,55.6,left,5,68.07
1783406399.4,55.6,left,6,67.50
1783406399.4,55.6,left,7,64.46
1783406399.4,55.6,right,imu,38.92
1783406399.4,55.6,right,0,31.34
