t_wall_s,elapsed_s,side,cam,temp_c
1783361143.0,40.4,left,0,27.26
1783361143.0,40.4,left,1,12.25
1783361143.0,40.4,left,2,28.16
1783361143.0,40.4,left,3,43.33
1783361143.0,40.4,left,4,29.48
1783361143.0,40.4,left,5,28.72
1783361143.0,40.4,left,6,28.49
1783361143.0,40.4,left,7,28.81
1783361143.0,40.4,right,imu,27.61
1783361143.0,40.4,right,0,23.70
1783361143.0,40.4,right,1,24.03
1783361143.0,40.4,right,2,26.44
1783361143.0,40.4,right,3,26.32
1783361143.0,40.4,right,4,27.65
1783361143.0,40.4,right,5,10.17
1783361143.0,40.4,right,6,27.35
1783361143.0,40.4,right,7,17.25
1783361148.1,45.5,left,imu,32.98
1783361148.1,45.5,left,0,28.10
1783361148.1,45.5,left,1,27.26
1783361148.1,45.5,left,2,48.11
1783361148.1,45.5,left,3,44.46
1783361148.1,45.5,left,4,30.23
1783361148.1,45.5,left,5,29.02
1783361148.1,45.5,left,6,29.62
1783361148.1,45.5,left,7,28.81
1783361148.1,45.5,right,imu,27.57
1783361148.1,45.5,right,0,24.08
1783361148.1,45.5,right,1,25.93
1783361148.1,45.5,right,2,26.21
1783361148.1,45.5,right,3,27.91
1783361148.1,45.5,right,4,26.75
1783361148.1,45.5,right,5,9.57
1783361148.1,45.5,right,6,27.50
1783361148.1,45.5,right,7,16.64
1783361153.1,50.5,left,imu,32.79
1783361153.1,50.5,left,0,28.17
1783361153.1,50.5,left,1,30.29
1783361153.1,50.5,left,2,48.64
1783361153.1,50.5,left,3,45.14
1783361153.1,50.5,left,4,29.93
1783361153.1,50.5,left,5,27.22
1783361153.1,50.5,left,6,7.73
1783361153.1,50.5,left,7,32.15
1783361153.1,50.5,right,imu,27.76
1783361153.1,50.5,right,0,23.85
1783361153.1,50.5,right,1,27.59
1783361153.1,50.5,right,2,26.29
1783361153.1,50.5,right,3,28.21
1783361153.1,50.5,right,4,25.68
1783361153.1,50.5,right,5,8.89
1783361153.1,50.5,right,6,27.58
1783361153.1,50.5,right,7,16.04
1783361158.2,55.6,left,imu,33.17
1783361158.2,55.6,left,0,28.10
1783361158.2,55.6,left,1,30.45
1783361158.2,55.6,left,2,49.32
1783361158.2,55.6,left,3,45.97
1783361158.2,55.6,left,4,29.93
1783361158.2,55.6,left,5,37.21
1783361158.2,55.6,left,6,5.99
1783361158.2,55.6,left,7,36.09
1783361158.2,55.6,right,imu,27.85
1783361158.2,55.6,right,0,23.93
1783361158.2,55.6,right,1,25.62
1783361158.2,55.6,right,2,26.36
1783361158.2,55.6,right,3,28.29
1783361158.2,55.6,right,4,24.39
1783361158.2,55.6,right,5,8.29
1783361158.2,55.6,right,6,27.65
1783361158.2,55.6,right,7,15.66
1783361163.2,60.6,left,imu,33.22
1783361163.2,60.6,left,0,23.47
1783361163.2,60.6,left,1,30.07
1783361163.2,60.6,left,2,50.14
1783361163.2,60.6,left,3,46.80
1783361163.2,60.6,left,4,29.25
1783361163.2,60.6,left,5,47.27
1783361163.2,60.6,left,6,4.55
1783361163.2,60.6,left,7,49.90
1783361163.2,60.6,right,imu,27.95
1783361163.2,60.6,right,0,23.85
1783361163.2,60.6,right,1,25.85
1783361163.2,60.6,right,2,26.52
1783361163.2,60.6,right,3,12.33
1783361163.2,60.6,right,4,23.34
1783361163.2,60.6,right,5,8.00
1783361163.2,60.6,right,6,26.37
1783361163.2,60.6,right,7,15.36
1783361168.3,65.7,left,imu,32.79
1783361168.3,65.7,left,0,36.29
1783361168.3,65.7,left,1,29.08
1783361168.3,65.7,left,2,50.75
1783361168.3,65.7,left,3,47.48
1783361168.3,65.7,left,4,29.18
1783361168.3,65.7,left,5,49.75
1783361168.3,65.7,left,6,3.03
1783361168.3,65.7,left,7,53.01
1783361168.3,65.7,right,imu,27.85
1783361168.3,65.7,right,0,23.85
1783361168.3,65.7,right,1,25.55
1783361168.3,65.7,right,2,25.99
1783361168.3,65.7,right,3,11.43
1783361168.3,65.7,right,4,22.27
1783361168.3,65.7,right,5,7.77
1783361168.3,65.7,right,6,27.88
1783361168.3,65.7,right,7,14.82
1783361173.3,70.7,left,imu,33.17
1783361173.3,70.7,left,0,36.97
1783361173.3,70.7,left,1,28.86
1783361173.3,70.7,left,2,51.73
1783361173.3,70.7,left,3,47.63
1783361173.3,70.7,left,4,29.63
1783361173.3,70.7,left,5,49.82
1783361173.3,70.7,left,6,15.15
1783361173.3,70.7,left,7,53.62
1783361173.3,70.7,right,imu,27.85
1783361173.3,70.7,right,0,24.08
1783361173.3,70.7,right,1,25.85
1783361173.3,70.7,right,2,34.59
1783361173.3,70.7,right,3,9.91
1783361173.3,70.7,right,4,21.44
1783361173.3,70.7,right,5,7.02
1783361173.3,70.7,right,6,37.55
1783361173.3,70.7,right,7,14.45
1783361178.4,75.8,left,imu,33.17
1783361178.4,75.8,left,0,37.35
1783361178.4,75.8,left,1,29.08
1783361178.4,75.8,left,2,6.24
1783361178.4,75.8,left,3,48.54
1783361178.4,75.8,left,4,29.93
1783361178.4,75.8,left,5,27.97
1783361178.4,75.8,left,6,25.08
1783361178.4,75.8,left,7,54.60
1783361178.4,75.8,right,imu,27.85
1783361178.4,75.8,right,0,23.93
1783361178.4,75.8,right,1,25.39
1783361178.4,75.8,right,2,35.11
1783361178.4,75.8,right,3,9.31
1783361178.4,75.8,right,4,20.53
1783361178.4,75.8,right,5,6.49
1783361178.4,75.8,right,6,38.23
1783361178.4,75.8,right,7,14.21
1783361183.4,80.8,left,imu,33.17
1783361183.4,80.8,left,0,38.64
1783361183.4,80.8,left,1,29.01
1783361183.4,80.8,left,2,32.15
1783361183.4,80.8,left,3,49.29
1783361183.4,80.8,left,4,29.55
1783361183.4,80.8,left,5,30.90
1783361183.4,80.8,left,6,34.02
1783361183.4,80.8,left,7,55.06
1783361183.4,80.8,right,imu,27.76
1783361183.4,80.8,right,0,23.93
1783361183.4,80.8,right,1,26.30
1783361183.4,80.8,right,2,35.87
1783361183.4,80.8,right,3,8.78
1783361183.4,80.8,right,4,20.15
1783361183.4,80.8,right,5,6.19
1783361183.4,80.8,right,6,38.84
1783361183.4,80.8,right,7,13.91
1783361188.5,85.8,left,imu,33.17
1783361188.5,85.8,left,0,39.09
1783361188.5,85.8,left,1,28.25
1783361188.5,85.8,left,2,30.64
1783361188.5,85.8,left,3,18.75
1783361188.5,85.8,left,4,29.86
1783361188.5,85.8,left,5,28.65
1783361188.5,85.8,left,6,28.56
1783361188.5,85.8,left,7,54.83
1783361188.5,85.8,right,imu,28.04
1783361188.5,85.8,right,0,23.85
1783361188.5,85.8,right,1,26.08
1783361188.5,85.8,right,2,36.32
1783361188.5,85.8,right,3,8.40
1783361188.5,85.8,right,4,19.02
1783361188.5,85.8,right,5,5.44
1783361188.5,85.8,right,6,39.44
1783361188.5,85.8,right,7,13.61
1783361193.5,90.9,left,imu,33.36
1783361193.5,90.9,left,0,39.24
1783361193.5,90.9,left,1,30.07
1783361193.5,90.9,left,2,30.34
1783361193.5,90.9,left,3,29.00
1783361193.5,90.9,left,4,30.08
1783361193.5,90.9,left,5,28.80
1783361193.5,90.9,left,6,28.26
1783361193.5,90.9,left,7,55.51
1783361193.5,90.9,right,imu,27.95
1783361193.5,90.9,right,0,24.08
1783361193.5,90.9,right,1,26.15
1783361193.5,90.9,right,2,36.85
1783361193.5,90.9,right,3,8.02
1783361193.5,90.9,right,4,18.56
1783361193.5,90.9,right,5,5.37
1783361193.5,90.9,right,6,40.05
1783361193.5,90.9,right,7,13.30
1783361198.6,95.9,left,imu,33.12
1783361198.6,95.9,left,0,39.77
1783361198.6,95.9,left,1,33.18
1783361198.6,95.9,left,2,30.49
1783361198.6,95.9,left,3,29.16
1783361198.6,95.9,left,4,29.55
1783361198.6,95.9,left,5,28.57
1783361198.6,95.9,left,6,29.93
1783361198.6,95.9,left,7,55.59
1783361198.6,95.9,right,imu,27.85
1783361198.6,95.9,right,0,23.93
1783361198.6,95.9,right,1,26.08
1783361198.6,95.9,right,2,37.38
1783361198.6,95.9,right,3,7.72
1783361198.6,95.9,right,4,18.18
1783361198.6,95.9,right,5,48.47
1783361198.6,95.9,right,6,40.58
1783361198.6,95.9,right,7,13.15
1783361203.6,101.0,left,imu,33.17
1783361203.6,101.0,left,0,40.00
1783361203.6,101.0,left,1,32.27
1783361203.6,101.0,left,2,30.27
1783361203.6,101.0,left,3,29.76
1783361203.6,101.0,left,4,30.31
1783361203.6,101.0,left,5,30.60
1783361203.6,101.0,left,6,31.21
1783361203.6,101.0,left,7,55.97
1783361203.6,101.0,right,imu,27.90
1783361203.6,101.0,right,0,23.93
1783361203.6,101.0,right,1,24.94
1783361203.6,101.0,right,2,37.75
1783361203.6,101.0,right,3,7.50
1783361203.6,101.0,right,4,17.58
1783361203.6,101.0,right,5,4.54
1783361203.6,101.0,right,6,41.11
1783361203.6,101.0,right,7,13.08
1783361208.7,106.0,left,imu,33.32
1783361208.7,106.0,left,0,40.46
1783361208.7,106.0,left,1,20.59
1783361208.7,106.0,left,2,30.27
1783361208.7,106.0,left,3,29.46
1783361208.7,106.0,left,4,29.93
1783361208.7,106.0,left,5,30.52
1783361208.7,106.0,left,6,28.26
1783361208.7,106.0,left,7,1.27
1783361208.7,106.0,right,imu,28.09
1783361208.7,106.0,right,0,24.23
1783361208.7,106.0,right,1,24.87
1783361208.7,106.0,right,2,38.28
1783361208.7,106.0,right,3,38.57
1783361208.7,106.0,right,4,17.43
1783361208.7,106.0,right,5,11.97
1783361208.7,106.0,right,6,41.56
1783361208.7,106.0,right,7,12.85
1783361213.7,111.1,left,imu,33.36
1783361213.7,111.1,left,0,40.61
1783361213.7,111.1,left,1,53.20
1783361213.7,111.1,left,2,29.81
1783361213.7,111.1,left,3,29.38
1783361213.7,111.1,left,4,29.70
1783361213.7,111.1,left,5,29.85
1783361213.7,111.1,left,6,27.43
1783361213.7,111.1,left,7,57.18
1783361213.7,111.1,right,imu,28.04
1783361213.7,111.1,right,0,24.23
1783361213.7,111.1,right,1,23.73
1783361213.7,111.1,right,2,38.58
1783361213.7,111.1,right,3,29.12
1783361213.7,111.1,right,4,16.89
1783361213.7,111.1,right,5,25.04
1783361213.7,111.1,right,6,41.79
1783361213.7,111.1,right,7,12.55
1783361218.7,116.1,left,imu,33.36
1783361218.7,116.1,left,0,41.14
1783361218.7,116.1,left,1,52.96
1783361218.7,116.1,left,2,29.44
1783361218.7,116.1,left,3,30.51
1783361218.7,116.1,left,4,29.93
1783361218.7,116.1,left,5,30.60
1783361218.7,116.1,left,6,28.03
