cam_id,method,frames,mean_std,mean_mad,contrast_mean,contrast_std,contrast_mad,contrast_temp_corr,median_boundary_jump,mean_clipped_mass,mean_ringing_score,ms_per_frame,first_dark_replacement_target,first_dark_replacement_frame,first_dark_replacement_exact
4,raw,5000,3.5911607068919706,0.30938937158546764,0.2097945788075429,0.008973671448405982,0.0017670743586025994,0.16928937403936725,0.0006939443027179221,0.0,0.0192195895606572,0.035088860010728244,9,9,True
4,current,5000,3.6014683449904252,0.29487441844945295,0.5425275572614617,0.05334630752493693,0.003812443611273475,-0.054901402995475065,0.002093310460785036,0.0,0.0,0.02351033999584615,9,9,True
4,bin_subtract,5000,3.578284093086018,0.3627671178217611,0.20892123847485,0.009096488841504309,0.0014912298804529572,0.12097773924393651,0.0006746137344958159,2441692.5585023332,0.02077345344908307,0.04358804000075906,9,9,True
4,deconv_fft,5000,7.321562793529169,0.3010163815118645,0.551064865794114,0.05239808250590733,0.005998125629278261,-0.2316857109624169,0.0021925615403573517,0.0,0.08539692595195497,0.09762430000118912,9,9,True
5,raw,5000,3.590713397458412,0.31813528656064705,0.18856111919591337,0.007661786709679766,0.0014646794136449898,0.3645919195122861,0.0015420075875560435,0.0,0.01831501194715826,0.033426059992052615,9,9,True
5,current,5000,3.5805333930915064,0.30413016586419417,0.48110463067229414,0.020246595459033345,0.0029558550305532894,0.3474820264098811,0.0031246558384183665,0.0,0.0,0.02278191999066621,9,9,True
5,bin_subtract,5000,3.5663132837308305,0.3392998166699073,0.18745565031545006,0.007795635010289496,0.0012632562206500442,0.29332466905783194,0.0015152857843266365,2439057.421536667,0.01952595884050753,0.04728697999380529,9,9,True
5,deconv_fft,5000,10.36763736994408,0.3147601258198236,0.4913737781693302,0.046172441077495796,0.004089550770822514,-0.24347546542653387,0.00265632633019669,0.0,0.032464881515135754,0.09102382001001388,9,9,True
6,raw,5000,3.4145527077922395,0.2585874442613516,0.14894612551259093,0.005566806473832806,0.0013271982400503007,0.5573440477936698,0.0014409598096143394,0.0,0.015933773962021107,0.037221559998579325,9,9,True
6,current,5000,3.409172199488673,0.23195296902395057,0.3722433630799279,0.015374257591013626,0.0026852466602311498,0.376459290094334,0.003603277200057431,0.0,0.0,0.023585439985617997,9,9,True
6,bin_subtract,5000,3.3057779477380964,0.31416846802848397,0.14322811545048822,0.005441113093108644,0.0010574439290016446,0.33917208202502797,0.001389490398741422,2382225.4687586664,0.016927877022806632,0.047822719998657705,9,9,True
6,deconv_fft,5000,12.707774352902776,0.2778245196073783,0.4345191546512611,0.04840978481777019,0.011783526694062713,-0.04767399237786724,0.004852737627325798,0.0,0.011109873845180638,0.10076129999943079,9,9,True
7,raw,5000,1.7343679693756535,0.179167905896918,0.26733912238421215,0.026161714678961025,0.0013330226775398468,0.8801906991366132,0.00018992613160184746,0.0,0.022699499579951668,0.03640238000079989,9,9,True
7,current,5000,1.6870652471630108,0.13150104468525114,0.44584146274072284,0.02531766641952229,0.005410410514984643,0.8113909934326181,0.0025218329480018453,0.0,0.0,0.025102979992516337,9,9,True
7,bin_subtract,5000,4.0705548296847125,0.29223074039543917,0.1601325392325981,0.012231311900070806,0.000783412844250278,0.8597843937649274,0.00018343186028865754,1075267.3628113335,0.03455800711390979,0.04835250000469386,9,9,True
7,deconv_fft,5000,22.520990593468618,1.5266559559590718,2.1996166459173816,0.09966200682372513,0.00990792461708434,0.2741804703753922,0.0042727687608725695,0.0,0.11505260247847378,0.10682226000353695,9,9,True
