t_wall_s,elapsed_s,side,cam,temp_c
1783368036.4,40.6,left,0,22.28
1783368036.4,40.6,left,1,25.47
1783368036.4,40.6,left,2,24.26
1783368036.4,40.6,left,3,26.82
1783368036.4,40.6,left,4,31.45
1783368036.4,40.6,left,5,24.11
1783368036.4,40.6,left,6,61.57
1783368036.4,40.6,left,7,25.47
1783368036.4,40.6,right,imu,30.54
1783368036.4,40.6,right,0,23.26
1783368036.4,40.6,right,1,24.63
1783368036.4,40.6,right,2,62.98
1783368036.4,40.6,right,3,28.00
1783368036.4,40.6,right,4,31.80
1783368036.4,40.6,right,5,38.34
1783368036.4,40.6,right,6,54.24
1783368036.4,40.6,right,7,26.17
1783368041.5,45.7,left,imu,30.39
1783368041.5,45.7,left,0,22.43
1783368041.5,45.7,left,1,25.32
1783368041.5,45.7,left,2,26.91
1783368041.5,45.7,left,3,26.75
1783368041.5,45.7,left,4,31.45
1783368041.5,45.7,left,5,23.96
1783368041.5,45.7,left,6,61.57
1783368041.5,45.7,left,7,25.55
1783368041.5,45.7,right,imu,30.68
1783368041.5,45.7,right,0,23.18
1783368041.5,45.7,right,1,24.55
1783368041.5,45.7,right,2,63.44
1783368041.5,45.7,right,3,28.00
1783368041.5,45.7,right,4,21.79
1783368041.5,45.7,right,5,38.64
1783368041.5,45.7,right,6,0.44
1783368041.5,45.7,right,7,24.81
1783368046.5,50.7,left,imu,30.25
1783368046.5,50.7,left,0,22.20
1783368046.5,50.7,left,1,24.56
1783368046.5,50.7,left,2,24.26
1783368046.5,50.7,left,3,27.05
1783368046.5,50.7,left,4,31.22
1783368046.5,50.7,left,5,23.42
1783368046.5,50.7,left,6,61.57
1783368046.5,50.7,left,7,25.32
1783368046.5,50.7,right,imu,30.58
1783368046.5,50.7,right,0,23.11
1783368046.5,50.7,right,1,24.55
1783368046.5,50.7,right,2,63.59
1783368046.5,50.7,right,3,27.93
1783368046.5,50.7,right,4,26.68
1783368046.5,50.7,right,5,38.26
1783368046.5,50.7,right,6,54.55
1783368046.5,50.7,right,7,26.24
1783368051.6,55.8,left,imu,30.49
1783368051.6,55.8,left,0,22.43
1783368051.6,55.8,left,1,25.39
1783368051.6,55.8,left,2,26.91
1783368051.6,55.8,left,3,27.05
1783368051.6,55.8,left,4,31.61
1783368051.6,55.8,left,5,24.42
1783368051.6,55.8,left,6,61.73
1783368051.6,55.8,left,7,24.94
1783368051.6,55.8,right,imu,30.58
1783368051.6,55.8,right,0,23.11
1783368051.6,55.8,right,1,24.71
1783368051.6,55.8,right,2,63.59
1783368051.6,55.8,right,3,27.85
1783368051.6,55.8,right,4,31.50
1783368051.6,55.8,right,5,38.56
1783368051.6,55.8,right,6,54.39
1783368051.6,55.8,right,7,26.24
1783368056.6,60.9,left,imu,30.54
1783368056.6,60.9,left,0,22.43
1783368056.6,60.9,left,1,25.24
1783368056.6,60.9,left,2,26.91
1783368056.6,60.9,left,3,26.97
1783368056.6,60.9,left,4,31.53
1783368056.6,60.9,left,5,24.04
1783368056.6,60.9,left,6,62.11
1783368056.6,60.9,left,7,25.17
1783368056.6,60.9,right,imu,30.68
1783368056.6,60.9,right,0,23.18
1783368056.6,60.9,right,1,24.48
1783368056.6,60.9,right,2,63.82
1783368056.6,60.9,right,3,28.00
1783368056.6,60.9,right,4,21.93
1783368056.6,60.9,right,5,38.49
1783368056.6,60.9,right,6,54.55
1783368056.6,60.9,right,7,26.09
1783368061.7,65.9,left,imu,30.54
1783368061.7,65.9,left,0,22.43
1783368061.7,65.9,left,1,24.41
1783368061.7,65.9,left,2,26.98
1783368061.7,65.9,left,3,27.12
1783368061.7,65.9,left,4,31.76
1783368061.7,65.9,left,5,24.57
1783368061.7,65.9,left,6,62.41
1783368061.7,65.9,left,7,25.02
1783368061.7,65.9,right,imu,30.54
1783368061.7,65.9,right,0,23.26
1783368061.7,65.9,right,1,24.48
1783368061.7,65.9,right,2,63.67
1783368061.7,65.9,right,3,27.93
1783368061.7,65.9,right,4,21.63
1783368061.7,65.9,right,5,38.56
1783368061.7,65.9,right,6,54.32
1783368061.7,65.9,right,7,24.89
1783368066.8,71.0,left,imu,30.39
1783368066.8,71.0,left,0,22.59
1783368066.8,71.0,left,1,24.56
1783368066.8,71.0,left,2,26.83
1783368066.8,71.0,left,3,26.97
1783368066.8,71.0,left,4,31.99
1783368066.8,71.0,left,5,24.73
1783368066.8,71.0,left,6,62.41
1783368066.8,71.0,left,7,25.17
1783368066.8,71.0,right,imu,30.49
1783368066.8,71.0,right,0,23.11
1783368066.8,71.0,right,1,24.63
1783368066.8,71.0,right,2,63.74
1783368066.8,71.0,right,3,28.00
1783368066.8,71.0,right,4,21.26
1783368066.8,71.0,right,5,38.64
1783368066.8,71.0,right,6,54.62
1783368066.8,71.0,right,7,24.74
1783368071.9,76.1,left,imu,30.54
1783368071.9,76.1,left,0,22.51
1783368071.9,76.1,left,1,24.86
1783368071.9,76.1,left,2,26.98
1783368071.9,76.1,left,3,27.12
1783368071.9,76.1,left,4,31.76
1783368071.9,76.1,left,5,24.34
1783368071.9,76.1,left,6,62.18
1783368071.9,76.1,left,7,25.09
1783368071.9,76.1,right,imu,30.58
1783368071.9,76.1,right,0,23.18
1783368071.9,76.1,right,1,24.48
1783368071.9,76.1,right,2,63.89
1783368071.9,76.1,right,3,28.00
1783368071.9,76.1,right,4,31.95
1783368071.9,76.1,right,5,38.79
1783368071.9,76.1,right,6,54.70
1783368071.9,76.1,right,7,26.24
1783368076.9,81.1,left,imu,30.49
1783368076.9,81.1,left,0,22.36
1783368076.9,81.1,left,1,24.79
1783368076.9,81.1,left,2,26.98
1783368076.9,81.1,left,3,25.84
1783368076.9,81.1,left,4,32.30
1783368076.9,81.1,left,5,24.34
1783368076.9,81.1,left,6,62.56
1783368076.9,81.1,left,7,25.62
1783368076.9,81.1,right,imu,30.68
1783368076.9,81.1,right,0,23.18
1783368076.9,81.1,right,1,24.55
1783368076.9,81.1,right,2,63.82
1783368076.9,81.1,right,3,27.93
1783368076.9,81.1,right,4,32.18
1783368076.9,81.1,right,5,38.94
1783368076.9,81.1,right,6,54.78
1783368076.9,81.1,right,7,24.89
