t_wall_s,elapsed_s,side,cam,temp_c
1783375481.8,40.6,left,0,30.36
1783375481.8,40.6,left,1,35.73
1783375481.8,40.6,left,2,41.89
1783375481.8,40.6,left,3,48.89
1783375481.8,40.6,left,4,50.09
1783375481.8,40.6,left,5,50.60
1783375481.8,40.6,left,6,52.05
1783375481.8,40.6,left,7,39.55
1783375481.8,40.6,right,imu,40.17
1783375481.8,40.6,right,0,31.29
1783375481.8,40.6,right,1,34.16
1783375481.8,40.6,right,2,40.71
1783375481.8,40.6,right,3,47.77
1783375481.8,40.6,right,4,47.10
1783375481.8,40.6,right,5,47.88
1783375481.8,40.6,right,6,47.63
1783375481.8,40.6,right,7,38.14
1783375486.9,45.6,left,imu,39.98
1783375486.9,45.6,left,0,30.05
1783375486.9,45.6,left,1,35.36
1783375486.9,45.6,left,2,41.21
1783375486.9,45.6,left,3,48.06
1783375486.9,45.6,left,4,49.24
1783375486.9,45.6,left,5,49.53
1783375486.9,45.6,left,6,50.99
1783375486.9,45.6,left,7,39.17
1783375486.9,45.6,right,imu,39.74
1783375486.9,45.6,right,0,31.14
1783375486.9,45.6,right,1,33.78
1783375486.9,45.6,right,2,40.11
1783375486.9,45.6,right,3,46.93
1783375486.9,45.6,right,4,46.34
1783375486.9,45.6,right,5,46.97
1783375486.9,45.6,right,6,46.87
1783375486.9,45.6,right,7,37.76
1783375492.0,50.7,left,imu,39.64
1783375492.0,50.7,left,0,29.74
1783375492.0,50.7,left,1,35.13
1783375492.0,50.7,left,2,40.68
1783375492.0,50.7,left,3,47.30
1783375492.0,50.7,left,4,48.47
1783375492.0,50.7,left,5,48.61
1783375492.0,50.7,left,6,49.93
1783375492.0,50.7,left,7,38.79
1783375492.0,50.7,right,imu,39.31
1783375492.0,50.7,right,0,30.99
1783375492.0,50.7,right,1,33.47
1783375492.0,50.7,right,2,39.57
1783375492.0,50.7,right,3,46.16
1783375492.0,50.7,right,4,45.59
1783375492.0,50.7,right,5,46.21
1783375492.0,50.7,right,6,46.04
1783375492.0,50.7,right,7,37.38
1783375497.0,55.8,left,imu,39.69
1783375497.0,55.8,left,0,29.74
1783375497.0,55.8,left,1,34.82
1783375497.0,55.8,left,2,40.16
1783375497.0,55.8,left,3,46.55
1783375497.0,55.8,left,4,47.70
1783375497.0,55.8,left,5,47.76
1783375497.0,55.8,left,6,49.16
1783375497.0,55.8,left,7,38.41
1783375497.0,55.8,right,imu,39.31
1783375497.0,55.8,right,0,30.68
1783375497.0,55.8,right,1,33.16
1783375497.0,55.8,right,2,39.12
1783375497.0,55.8,right,3,45.48
1783375497.0,55.8,right,4,45.14
1783375497.0,55.8,right,5,45.46
1783375497.0,55.8,right,6,45.43
1783375497.0,55.8,right,7,37.08
1783375502.1,60.8,left,imu,39.21
1783375502.1,60.8,left,0,29.59
1783375502.1,60.8,left,1,34.52
1783375502.1,60.8,left,2,39.70
1783375502.1,60.8,left,3,45.94
1783375502.1,60.8,left,4,47.01
1783375502.1,60.8,left,5,46.99
1783375502.1,60.8,left,6,48.40
1783375502.1,60.8,left,7,38.11
1783375502.1,60.8,right,imu,38.83
1783375502.1,60.8,right,0,30.61
1783375502.1,60.8,right,1,32.93
1783375502.1,60.8,right,2,38.74
1783375502.1,60.8,right,3,44.87
1783375502.1,60.8,right,4,44.54
1783375502.1,60.8,right,5,44.93
1783375502.1,60.8,right,6,44.82
1783375502.1,60.8,right,7,36.86
1783375507.2,65.9,left,imu,39.02
1783375507.2,65.9,left,0,29.59
1783375507.2,65.9,left,1,34.29
1783375507.2,65.9,left,2,39.32
1783375507.2,65.9,left,3,45.41
1783375507.2,65.9,left,4,46.39
1783375507.2,65.9,left,5,46.30
1783375507.2,65.9,left,6,47.71
1783375507.2,65.9,left,7,37.81
1783375507.2,65.9,right,imu,38.49
1783375507.2,65.9,right,0,30.53
1783375507.2,65.9,right,1,32.62
1783375507.2,65.9,right,2,38.36
1783375507.2,65.9,right,3,44.41
1783375507.2,65.9,right,4,43.93
1783375507.2,65.9,right,5,44.32
1783375507.2,65.9,right,6,44.29
1783375507.2,65.9,right,7,36.55
1783375512.2,71.0,left,imu,39.02
1783375512.2,71.0,left,0,29.43
1783375512.2,71.0,left,1,34.06
1783375512.2,71.0,left,2,39.02
1783375512.2,71.0,left,3,44.88
1783375512.2,71.0,left,4,45.93
1783375512.2,71.0,left,5,45.69
1783375512.2,71.0,left,6,47.26
1783375512.2,71.0,left,7,37.50
1783375512.2,71.0,right,imu,38.44
1783375512.2,71.0,right,0,30.30
1783375512.2,71.0,right,1,32.39
1783375512.2,71.0,right,2,37.98
1783375512.2,71.0,right,3,43.88
1783375512.2,71.0,right,4,43.56
1783375512.2,71.0,right,5,43.87
1783375512.2,71.0,right,6,43.68
1783375512.2,71.0,right,7,36.33
1783375517.3,76.0,left,imu,38.59
1783375517.3,76.0,left,0,29.51
1783375517.3,76.0,left,1,33.84
1783375517.3,76.0,left,2,38.64
1783375517.3,76.0,left,3,44.43
1783375517.3,76.0,left,4,45.47
1783375517.3,76.0,left,5,45.23
1783375517.3,76.0,left,6,46.73
1783375517.3,76.0,left,7,37.36
1783375517.3,76.0,right,imu,37.96
1783375517.3,76.0,right,0,30.08
1783375517.3,76.0,right,1,32.24
1783375517.3,76.0,right,2,37.68
1783375517.3,76.0,right,3,43.42
1783375517.3,76.0,right,4,43.18
1783375517.3,76.0,right,5,43.34
1783375517.3,76.0,right,6,43.30
1783375517.3,76.0,right,7,36.03
1783375522.3,81.1,left,imu,38.44
1783375522.3,81.1,left,0,29.43
1783375522.3,81.1,left,1,33.68
1783375522.3,81.1,left,2,38.34
1783375522.3,81.1,left,3,43.98
1783375522.3,81.1,left,4,45.00
1783375522.3,81.1,left,5,44.61
1783375522.3,81.1,left,6,46.20
1783375522.3,81.1,left,7,37.05
1783375522.3,81.1,right,imu,38.06
1783375522.3,81.1,right,0,30.08
1783375522.3,81.1,right,1,32.09
1783375522.3,81.1,right,2,37.37
1783375522.3,81.1,right,3,43.04
1783375522.3,81.1,right,4,42.73
1783375522.3,81.1,right,5,42.96
1783375522.3,81.1,right,6,42.84
1783375522.3,81.1,right,7,35.88
1783375527.4,86.2,left,imu,38.30
1783375527.4,86.2,left,0,29.43
1783375527.4,86.2,left,1,33.45
1783375527.4,86.2,left,2,38.04
1783375527.4,86.2,left,3,43.68
1783375527.4,86.2,left,4,44.54
1783375527.4,86.2,left,5,44.23
1783375527.4,86.2,left,6,45.66
1783375527.4,86.2,left,7,36.82
1783375527.4,86.2,right,imu,37.92
1783375527.4,86.2,right,0,29.85
1783375527.4,86.2,right,1,31.86
1783375527.4,86.2,right,2,37.07
1783375527.4,86.2,right,3,42.65
1783375527.4,86.2,right,4,42.28
1783375527.4,86.2,right,5,42.50
1783375527.4,86.2,right,6,42.46
1783375527.4,86.2,right,7,35.65
1783375532.5,91.2,left,imu,37.96
1783375532.5,91.2,left,0,29.36
1783375532.5,91.2,left,1,33.30
1783375532.5,91.2,left,2,37.73
1783375532.5,91.2,left,3,43.22
1783375532.5,91.2,left,4,44.08
1783375532.5,91.2,left,5,43.84
1783375532.5,91.2,left,6,45.28
1783375532.5,91.2,left,7,36.67
1783375532.5,91.2,right,imu,37.39
1783375532.5,91.2,right,0,29.77
1783375532.5,91.2,right,1,31.62
1783375532.5,91.2,right,2,36.91
1783375532.5,91.2,right,3,42.27
1783375532.5,91.2,right,4,42.05
1783375532.5,91.2,right,5,42.05
1783375532.5,91.2,right,6,42.08
1783375532.5,91.2,right,7,35.43
1783375537.6,96.3,left,imu,37.96
1783375537.6,96.3,left,0,29.12
1783375537.6,96.3,left,1,33.30
1783375537.6,96.3,left,2,37.50
1783375537.6,96.3,left,3,42.92
1783375537.6,96.3,left,4,43.77
1783375537.6,96.3,left,5,43.31
1783375537.6,96.3,left,6,44.98
1783375537.6,96.3,left,7,36.45
1783375537.6,96.3,right,imu,37.58
1783375537.6,96.3,right,0,29.77
1783375537.6,96.3,right,1,31.55
1783375537.6,96.3,right,2,36.61
1783375537.6,96.3,right,3,41.97
1783375537.6,96.3,right,4,41.67
1783375537.6,96.3,right,5,41.74
1783375537.6,96.3,right,6,41.78
1783375537.6,96.3,right,7,35.20
1783375542.6,101.4,left,imu,37.77
1783375542.6,101.4,left,0,29.12
1783375542.6,101.4,left,1,33.00
1783375542.6,101.4,left,2,37.28
1783375542.6,101.4,left,3,42.62
1783375542.6,101.4,left,4,43.39
1783375542.6,101.4,left,5,43.00
1783375542.6,101.4,left,6,44.52
1783375542.6,101.4,left,7,36.22
1783375542.6,101.4,right,imu,37.20
1783375542.6,101.4,right,0,29.77
1783375542.6,101.4,right,1,31.32
1783375542.6,101.4,right,2,36.46
1783375542.6,101.4,right,3,41.59
1783375542.6,101.4,right,4,41.30
1783375542.6,101.4,right,5,41.44
1783375542.6,101.4,right,6,41.55
1783375542.6,101.4,right,7,35.05
1783375547.7,106.4,left,imu,37.44
1783375547.7,106.4,left,0,29.12
1783375547.7,106.4,left,1,33.07
1783375547.7,106.4,left,2,37.05
1783375547.7,106.4,left,3,42.24
1783375547.7,106.4,left,4,43.08
1783375547.7,106.4,left,5,42.70
1783375547.7,106.4,left,6,44.21
1783375547.7,106.4,left,7,36.07
1783375547.7,106.4,right,imu,37.01
1783375547.7,106.4,right,0,29.77
1783375547.7,106.4,right,1,31.16
1783375547.7,106.4,right,2,36.31
1783375547.7,106.4,right,3,41.28
1783375547.7,106.4,right,4,41.00
1783375547.7,106.4,right,5,41.06
1783375547.7,106.4,right,6,41.25
1783375547.7,106.4,right,7,34.82
1783375552.8,111.5,left,imu,37.44
1783375552.8,111.5,left,0,29.12
1783375552.8,111.5,left,1,32.85
1783375552.8,111.5,left,2,36.90
1783375552.8,111.5,left,3,42.01
1783375552.8,111.5,left,4,42.70
1783375552.8,111.5,left,5,42.39
1783375552.8,111.5,left,6,43.83
1783375552.8,111.5,left,7,35.91
1783375552.8,111.5,right,imu,37.05
1783375552.8,111.5,right,0,29.77
1783375552.8,111.5,right,1,31.01
1783375552.8,111.5,right,2,36.08
1783375552.8,111.5,right,3,40.98
1783375552.8,111.5,right,4,40.70
1783375552.8,111.5,right,5,40.76
1783375552.8,111.5,right,6,40.95
1783375552.8,111.5,right,7,34.75
1783375557.8,116.6,left,imu,37.34
1783375557.8,116.6,left,0,29.05
1783375557.8,116.6,left,1,32.70
1783375557.8,116.6,left,2,36.67
1783375557.8,116.6,left,3,41.71
1783375557.8,116.6,left,4,42.46
1783375557.8,116.6,left,5,42.08
1783375557.8,116.6,left,6,43.61
1783375557.8,116.6,left,7,35.77
1783375557.8,116.6,right,imu,36.81
1783375557.8,116.6,right,0,29.77
1783375557.8,116.6,right,1,31.01
1783375557.8,116.6,right,2,35.93
1783375557.8,116.6,right,3,40.75
1783375557.8,116.6,right,4,40.47
1783375557.8,116.6,right,5,40.53
1783375557.8,116.6,right,6,40.71
1783375557.8,116.6,right,7,34.52
1783375562.9,121.6,left,imu,37.01
1783375562.9,121.6,left,0,28.97
1783375562.9,121.6,left,1,32.70
1783375562.9,121.6,left,2,36.52
1783375562.9,121.6,left,3,41.48
1783375562.9,121.6,left,4,42.23
1783375562.9,121.6,left,5,41.77
1783375562.9,121.6,left,6,43.22
1783375562.9,121.6,left,7,35.54
1783375562.9,121.6,right,imu,36.57
1783375562.9,121.6,right,0,29.55
1783375562.9,121.6,right,1,30.93
1783375562.9,121.6,right,2,35.70
1783375562.9,121.6,right,3,40.52
1783375562.9,121.6,right,4,40.17
1783375562.9,121.6,right,5,40.30
1783375562.9,121.6,right,6,40.41
1783375562.9,121.6,right,7,34.45
1783375567.9,126.7,left,imu,37.20
1783375567.9,126.7,left,0,28.82
1783375567.9,126.7,left,1,32.70
1783375567.9,126.7,left,2,36.37
1783375567.9,126.7,left,3,41.18
1783375567.9,126.7,left,4,41.93
1783375567.9,126.7,left,5,41.62
1783375567.9,126.7,left,6,43.00
1783375567.9,126.7,left,7,35.39
1783375567.9,126.7,right,imu,36.81
1783375567.9,126.7,right,0,29.55
1783375567.9,126.7,right,1,30.78
1783375567.9,126.7,right,2,35.55
1783375567.9,126.7,right,3,40.29
1783375567.9,126.7,right,4,40.02
1783375567.9,126.7,right,5,40.00
1783375567.9,126.7,right,6,40.26
1783375567.9,126.7,right,7,34.30
1783375573.0,131.8,left,imu,37.01
1783375573.0,131.8,left,0,28.89
1783375573.0,131.8,left,1,32.70
1783375573.0,131.8,left,2,36.22
1783375573.0,131.8,left,3,41.03
1783375573.0,131.8,left,4,41.62
1783375573.0,131.8,left,5,41.31
1783375573.0,131.8,left,6,42.77
1783375573.0,131.8,left,7,35.23
1783375573.0,131.8,right,imu,36.48
1783375573.0,131.8,right,0,29.47
1783375573.0,131.8,right,1,30.63
1783375573.0,131.8,right,2,35.39
1783375573.0,131.8,right,3,40.06
1783375573.0,131.8,right,4,39.71
1783375573.0,131.8,right,5,39.85
1783375573.0,131.8,right,6,40.03
1783375573.0,131.8,right,7,34.07
1783375578.1,136.8,left,imu,36.72
1783375578.1,136.8,left,0,28.89
1783375578.1,136.8,left,1,32.54
1783375578.1,136.8,left,2,35.99
1783375578.1,136.8,left,3,40.73
1783375578.1,136.8,left,4,41.39
1783375578.1,136.8,left,5,41.16
1783375578.1,136.8,left,6,42.54
1783375578.1,136.8,left,7,35.08
1783375578.1,136.8,right,imu,36.38
1783375578.1,136.8,right,0,29.32
1783375578.1,136.8,right,1,30.55
1783375578.1,136.8,right,2,35.24
1783375578.1,136.8,right,3,39.91
1783375578.1,136.8,right,4,39.56
1783375578.1,136.8,right,5,39.55
1783375578.1,136.8,right,6,39.80
1783375578.1,136.8,right,7,34.00
1783375583.1,141.9,left,imu,36.38
1783375583.1,141.9,left,0,28.82
1783375583.1,141.9,left,1,32.39
1783375583.1,141.9,left,2,35.91
1783375583.1,141.9,left,3,40.50
1783375583.1,141.9,left,4,41.16
1783375583.1,141.9,left,5,40.85
1783375583.1,141.9,left,6,42.31
1783375583.1,141.9,left,7,34.93
1783375583.1,141.9,right,imu,36.48
1783375583.1,141.9,right,0,29.32
1783375583.1,141.9,right,1,30.63
1783375583.1,141.9,right,2,35.09
1783375583.1,141.9,right,3,39.68
1783375583.1,141.9,right,4,39.34
1783375583.1,141.9,right,5,39.32
1783375583.1,141.9,right,6,39.65
1783375583.1,141.9,right,7,33.85
1783375588.2,146.9,left,imu,36.53
1783375588.2,146.9,left,0,28.66
1783375588.2,146.9,left,1,32.24
1783375588.2,146.9,left,2,35.69
1783375588.2,146.9,left,3,40.35
1783375588.2,146.9,left,4,40.93
1783375588.2,146.9,left,5,40.62
1783375588.2,146.9,left,6,42.01
1783375588.2,146.9,left,7,34.86
1783375588.2,146.9,right,imu,36.19
1783375588.2,146.9,right,0,29.25
1783375588.2,146.9,right,1,30.47
1783375588.2,146.9,right,2,35.02
1783375588.2,146.9,right,3,39.52
1783375588.2,146.9,right,4,39.11
1783375588.2,146.9,right,5,39.17
1783375588.2,146.9,right,6,39.42
1783375588.2,146.9,right,7,33.70
1783375593.3,152.0,left,imu,36.53
1783375593.3,152.0,left,0,28.51
1783375593.3,152.0,left,1,32.16
1783375593.3,152.0,left,2,35.54
1783375593.3,152.0,left,3,40.12
1783375593.3,152.0,left,4,40.70
1783375593.3,152.0,left,5,40.47
1783375593.3,152.0,left,6,41.78
1783375593.3,152.0,left,7,34.70
1783375593.3,152.0,right,imu,35.95
1783375593.3,152.0,right,0,29.17
1783375593.3,152.0,right,1,30.24
1783375593.3,152.0,right,2,34.86
1783375593.3,152.0,right,3,39.37
1783375593.3,152.0,right,4,38.89
1783375593.3,152.0,right,5,38.94
